ErrorCode,Description
232,No Group Call Number Available
2320,Incorrect dialogue ID parameter usage
2321,Incorrect alpha originator address usage
2322,Invalid data for alpha numeric originator
2323,Online closed user group rejection
2324,Licence exceeded
233,Resource Limitation
234,Unauthorized Requesting Network
235,Unathorized LCS Client
236,Position Method Failure
237,Custom error 8
238,Custom error 9
239,Custom error 10
23A,Unknown or Unreachable LCS Client
240,Recipient Temporary Error
241,Recipient Permanent Error
242,Service Not configured/for a particular circle/subscriber. Or simply menu is incomplete or service i
243,Terminating session due to invalid input
244,Unspecific
245,'HLR:the remote address not reachable' /'VMSC:Invalid Destination'
246,Client Resource Not Available
247,Unknown Alphabet
248,EC_TIME_OUT
249,EC_IMSI_BLACKLISTED
250,Recipient number is blacklisted
251,Invalid network routing address
252,Message validity period expired
253,Subscriber authentication failed due to a network connection error
254,Unspecified network error
255,Unknown messaging error
256,Device memory is full
257,Mobile device communication error
258,EC_SM_DF_equipmentNotSM_Equipped
259,EC_SM_DF_unknownServiceCentre
260,EC_SM_DF_sc_Congestion
261,EC_SM_DF_invalidSME_Address
262,EC_SM_DF_subscriberNotSC_Subscriber
263,MO Handover: Destination SME Barred
264,MO Handover: Duplicate Message Rejected
265,MO Handover: Validity Period Format Unsupported
266,MO Handover: Validity Period Unsupported
267,MO Handover: Not Supported by equipment
268,MO Handover: System Error
269,MO Handover: Duplicated invoke id
270,MO Handover: Service not supported
271,MO Handover: Mistyped parameter
272,MO Handover: No response from the peer
273,MO Handover: Resource limitation
274,MO Handover: Initiating release
275,Error Gateway
276,MO Handover: Unexpected error
277,MO Handover: Unexpected response from the peer
278,MO Handover: Unable to complete operation within timeout
279,MO Handover: Invalid response received
280,Network handover signaling error
281,EC_UA_userSpecificReason
282,EC_UA_userResourceLimitation
283,EC_UA_resourceUnavailable
284,EC_UA_applicationProcedureCancellation
285,MO Handover: Unexpected Data Value
286,MO Handover: Telematic Interworking not Supported
287,MO Handover: FDA throttled
288,MO Handover: SM decoding problem
300,Invalid destination address
301,Invalid destination numbering format
302,Invalid destination number type
303,Invalid destination setting
304,Invalid number of recipients
305,Provider Error Unexpected Response
306,Provider Error Service Completion Failure
307,EC_Provider No Response from Peer
308,Provider Error Invalid Response
400,EC_MAP_abort _error
4000,Redis Error
4001,Redis request Timeout
4002,Not found in Redis DB
4004,Content Id not found in Redis DB
401,Stack/Sig Error Map User specific Reason
402,Stack/Sig Error Map User Resource Limitation
403,Stack/Sig Error Map Resource Unavailable
404,Stack/Sig Error Map Application Procedure Cancellation
406,TELEMARKETER_NOT_FOUND
406,TELEMARKETER_NOT_FOUND
407,DLT_SCRUBBING_TIMEOUT
408,SENDER_BLOCKED_BY_DLT
408,SENDER_BLOCKED_BY_DLT
40A,Stack/Sig Error Map Provider Malfunction
40B,Stack/Sig Error Map Unrecognised Transaction ID
40C,Stack/Sig Error Dialog Resource Limitation
40D,Stack/Sig Error Map Maintenance Activity
40E,Stack/Sig Error Map Version Incompatibility
40F,Stack/Sig Error Abnormal Map Dialogue
410,ENTITY_BLOCKED_BY_DLT
411,TEMPLATE_BLOCKED_BY_DLT
412,ENTITY_NOT_FOUND
413,ENTITY_NOT_REGISTERED
414,ENTITY_INACTIVE
415,ENTITY_BLACKLISTED
416,INVALID_ENTITY_ID
417,ENTITY_ID_NOT_ALLOWED_FOR_TM
418,TELEMARKETER_NOT_REGISTERED
419,TELEMARKETER_INACTIVE
41A,Sig Error Map guard Timer Expired
41B,Sig Error Map SPCAUSE mask
41C,Sig Error MAP No Translation Basd Address
41D,Sig Error MAP No Translation specific address
41E,Stack/Sig Application Context Not Supported
41F,Stack/Sig Dlg Invalid Destination Reference
421,HEADER_NOT_FOUND
422,HEADER_INACTIVE
423,HEADER_BLACKLISTED
424,PEID_NOT_MATCHED_WITH_HEADER
425,HEADER_IN_FREEPOOL
426,TEMPLATE_NOT_FOUND
426,TEMPLATE_NOT_FOUND
427,TEMPLATE_INACTIVE
427,TEMPLATE_INACTIVE
428,TEMPLATE_BLACKLISTED
429,TEMPLATE_NOT_MATCHED
42A,Sig Error MAP Un Equipped User
42B,Sig Error MAP Network Failure
42C,Sig Error MAP Network Conjestion
42D,Sig Error MAP un Qualified
42E,Sig Error MAP HOP Counter violaion ANS92
42F,Sig Error MAP Error in message transport CCIT92
430,HEADER_NOT_REGISTERED_FOR_TEMPLATE
431,TEMPLATE_FAILED_ON_DYNAMIC_PART
432,ERROR_IDENTIFYING_TEMPLATE
433,INVALID_TEMPLATE_ID
434,TEMPLATE_NOT_REGISTERED_TO_ENTITY
435,PROMOTIONAL_TEMPLATE_USED_ON_OTHERS_HEADER
436,INVALID_TEMPLATE_TYPE
436,INVALID_TEMPLATE_TYPE
437,PREFERENCE_NOT_MATCHED
437,PREFERENCE_NOT_MATCHED
438,INVALID_PROMO_TIME
438,INVALID_PROMO_TIME
439,SE_CATEGORY_BLOCK
439,SE_CATEGORY_BLOCK
440,CONSENT_FAILED
440,CONSENT_FAILED
441,SCRUBBING_FAILED
441,SCRUBBING_FAILED
442,TLV_PEID_NOT_FOUND
442,TLV_PEID_NOT_FOUND
443,TLV_TMPID_NOT_FOUND
443,TLV_TMPID_NOT_FOUND
444,EC _CONTENT_MULTIPART_INCOMPLETE_BY_DLT
444,EC _CONTENT_MULTIPART_INCOMPLETE_BY_DLT
446,HEADER_SUSPENDED_DUE_TO_VALIDITY
446,HEADER_SUSPENDED_DUE_TO_VALIDITY
447,HEADER_SUSPENDED_DUE_TO_USAGE
447,HEADER_SUSPENDED_DUE_TO_USAGE
448,HEADER_SUSPENDED_DUE_TO_CUSTOMER
448,HEADER_SUSPENDED_DUE_TO_CUSTOMER
449,EC_TEMPLATE_IN_SUSPENDED_VERFIED
449,EC_TEMPLATE_IN_SUSPENDED_VERFIED
450,TEMPLATE_SUSPENDED_DUE_TO_USAGE
450,TEMPLATE_SUSPENDED_DUE_TO_USAGE
451,TEMPLATE_SUSPENDED_DUE_TO_CUSTOMER
451,TEMPLATE_SUSPENDED_DUE_TO_CUSTOMER
452,EC_GLOBAL_MSISDN_BLOCKED
452,EC_GLOBAL_MSISDN_BLOCKED
453,EC_TEMPLATE_RESERVED
453,EC_TEMPLATE_RESERVED
454,EC_HEADER_IN_SUSPENDED_VERIFIED
454,EC_HEADER_IN_SUSPENDED_VERIFIED
455,EC_GLOBAL_FAILURE
455,EC_GLOBAL_FAILURE
456,FAILED_TO_ASSEMBLE_PDUS
456,FAILED_TO_ASSEMBLE_PDUS
457,HEADER_AND_ACCOUNTTYPE_MISMATCH
457,HEADER_AND_ACCOUNTTYPE_MISMATCH
458,Empty Hash provided
458,Empty Hash provided
459,Status of this hash is Blacklisted
459,Status of this hash is Blacklisted
460,Status of this hash is Suspended by Customer
460,Status of this hash is Suspended by Customer
461,One of the Telemarketers in the chain is blacklisted
461,One of the Telemarketers in the chain is blacklisted
462,Submitted hash does not match any registered hash for the PE
462,Submitted hash does not match any registered hash for the PE
463,EC_Cancelled. We have not received the DLR within the validity period passed in the transaction
463,EC_Cancelled. We have not received the DLR within the validity period passed in the transaction
497,URL not whitelisted
498,Email not whitelisted
498,Email not whitelisted
499,Number not whitelisted
499,Number not whitelisted
500,SMPP - Throttling error
501,ESME_RINVEXPIRY
502,EC_NO_RESPONSE
503,Connection_timeout_from_ABMS
5101,If Category is 0 or 50.
5103,If Subscriber cmode is 10 or 12.
5104,If Opstype is active in DLT
5105,If day code found in Subscriber Preference Day
5106,If Time code found in Subscriber Preference Time
5107,If user not reg. on DND but current restricted (Blackout)
